researcher,region,site_code,rep,x,y,z,shrub_species,NSAT,NSRH,SGT,microsite,date,start_time
ng,Carrizo,Carrizo_4,15,420,370,192,Ephedra californica,16.74,16.17,16.9,shrub,16-02-2023,10:04
ng,Carrizo,Carrizo_4,16,334,310,115,Ephedra californica,17.1,18.38,16.7,shrub,16-02-2023,10:04
ng,Carrizo,Carrizo_4,17,297,260,135,Ephedra californica,17.37,18.7,20.3,shrub,16-02-2023,10:04
ng,Carrizo,Carrizo_4,18,496,420,171,Ephedra californica,17.7,17.76,20.5,shrub,16-02-2023,10:04
ng,Carrizo,Carrizo_4,19,308,289,155,Ephedra californica,18,17.09,13.6,shrub,16-02-2023,10:04
ng,Carrizo,Carrizo_4,20,315,305,156,Ephedra californica,18.27,17.56,18.1,shrub,16-02-2023,10:04
ng,Carrizo,Carrizo_4,21,310,303,153,Ephedra californica,18.24,17,21,shrub,16-02-2023,10:04
ng,Carrizo,Carrizo_4,22,216,216,97,Ephedra californica,18.33,17.24,18.6,shrub,16-02-2023,10:04
ng,Carrizo,Carrizo_4,23,297,297,167,Ephedra californica,18.41,16.67,14.6,shrub,16-02-2023,10:04
ng,Carrizo,Carrizo_4,24,290,272,153,Ephedra californica,17.46,16.91,13.1,shrub,16-02-2023,10:04
ng,Carrizo,Carrizo_4,25,396,335,150,Ephedra californica,17.65,17.54,18.5,shrub,16-02-2023,10:04
ng,Carrizo,Carrizo_4,26,240,298,153,Ephedra californica,18.16,17.15,18.5,shrub,16-02-2023,10:04
ng,Carrizo,Carrizo_4,27,260,395,160,Ephedra californica,17.68,17.04,14.3,shrub,16-02-2023,10:04
ng,Carrizo,Carrizo_4,28,302,290,178,Ephedra californica,17.58,15.31,22.8,shrub,16-02-2023,10:04
ng,Carrizo,Carrizo_4,29,273,220,125,Ephedra californica,17.73,15.39,18.8,shrub,16-02-2023,10:04
ng,Carrizo,Carrizo_4,30,300,288,103,Ephedra californica,18.14,16.65,18.5,shrub,16-02-2023,10:04
ng,Carrizo,Carrizo_3,1,386,330,123,Ephedra californica,20.66,12.07,15.6,shrub,16-02-2023,13:19
ng,Carrizo,Carrizo_3,2,327,309,163,Ephedra californica,19.58,12.45,20.8,shrub,16-02-2023,13:19
ng,Carrizo,Carrizo_3,3,256,247,151,Ephedra californica,19.1,14,21.8,shrub,16-02-2023,13:19
ng,Carrizo,Carrizo_3,4,364,298,142,Ephedra californica,18.91,15.1,19.7,shrub,16-02-2023,13:19
ng,Carrizo,Carrizo_3,5,329,315,145,Ephedra californica,18.72,13.01,21.7,shrub,16-02-2023,13:19
ng,Carrizo,Carrizo_3,6,371,337,163,Ephedra californica,18.27,12.72,12.7,shrub,16-02-2023,13:19
ng,Carrizo,Carrizo_3,7,323,200,144,Ephedra californica,18.21,14.41,13.6,shrub,16-02-2023,13:19
ng,Carrizo,Carrizo_3,8,403,390,172,Ephedra californica,19.23,16.23,15.5,shrub,16-02-2023,13:19
ng,Carrizo,Carrizo_3,9,440,365,160,Ephedra californica,19.44,14.47,16.5,shrub,16-02-2023,13:19
ng,Carrizo,Carrizo_3,10,298,297,144,Ephedra californica,19.35,14.8,16.9,shrub,16-02-2023,13:19
ng,Carrizo,Carrizo_3,11,320,268,138,Ephedra californica,18.52,13.72,14.8,shrub,16-02-2023,13:19
ng,Carrizo,Carrizo_3,12,423,397,165,Ephedra californica,18,17.52,11.6,shrub,16-02-2023,13:19
ng,Carrizo,Carrizo_3,13,261,247,145,Ephedra californica,18.57,14.72,15,shrub,16-02-2023,13:19
ng,Carrizo,Carrizo_3,14,307,294,150,Ephedra californica,17.89,14.62,12.9,shrub,16-02-2023,13:19
ng,Carrizo,Carrizo_3,15,245,245,105,Ephedra californica,16.64,17.09,15.1,shrub,16-02-2023,13:19
ng,Carrizo,Carrizo_3,16,310,286,122,Ephedra californica,16.91,18.47,14,shrub,16-02-2023,13:19
ng,Carrizo,Carrizo_3,17,255,237,115,Ephedra californica,15.86,18.22,13.2,shrub,16-02-2023,13:19
ng,Carrizo,Carrizo_3,18,377,288,150,Ephedra californica,16.01,19.67,14.3,shrub,16-02-2023,13:19
ng,Carrizo,Carrizo_3,19,370,327,148,Ephedra californica,16.1,18.44,17.8,shrub,16-02-2023,13:19
ng,Carrizo,Carrizo_3,20,315,296,198,Ephedra californica,16,17.8,16.7,shrub,16-02-2023,13:19
ng,Carrizo,Carrizo_3,21,283,260,138,Ephedra californica,17.95,16.45,12.4,shrub,16-02-2023,13:19
ng,Carrizo,Carrizo_3,22,407,320,161,Ephedra californica,17.79,15.76,15.7,shrub,16-02-2023,13:19
ng,Carrizo,Carrizo_3,23,297,293,118,Ephedra californica,17.15,16.09,12.2,shrub,16-02-2023,13:19
ng,Carrizo,Carrizo_3,24,274,244,142,Ephedra californica,16.54,17.8,13.3,shrub,16-02-2023,13:19
ng,Carrizo,Carrizo_3,25,418,282,193,Ephedra californica,16.77,14.51,16.6,shrub,16-02-2023,13:19
ng,Carrizo,Carrizo_3,26,308,307,136,Ephedra californica,15.27,17.26,12.1,shrub,16-02-2023,13:19
ng,Carrizo,Carrizo_3,27,395,330,161,Ephedra californica,16.09,17.42,19.02,shrub,16-02-2023,13:19
ng,Carrizo,Carrizo_3,28,382,378,143,Ephedra californica,16.05,16.87,14,shrub,16-02-2023,13:19
ng,Carrizo,Carrizo_3,29,465,315,150,Ephedra californica,16.4,17.32,12.4,shrub,16-02-2023,13:19
ng,Carrizo,Carrizo_3,30,352,340,165,Ephedra californica,16.49,14.86,16.3,shrub,16-02-2023,13:19
ng,Tecopa,Tecopa,1,290,261,192,Larrea tridentata ,29.78,12.52,36.3,shrub,20-02-2024,13:05
ng,Tecopa,Tecopa,2,167,143,120,Larrea tridentata ,39.59,12.66,26.1,shrub,20-02-2024,13:05
ng,Tecopa,Tecopa,3,245,156,144,Larrea tridentata ,28.91,12.99,23.7,shrub,20-02-2024,13:05
ng,Tecopa,Tecopa,4,258,190,103,Larrea tridentata ,27.95,12.61,31.8,shrub,20-02-2024,13:05
ng,Tecopa,Tecopa,5,242,220,160,Larrea tridentata ,28.03,12.59,34.07,shrub,20-02-2024,13:05
ng,Tecopa,Tecopa,6,193,176,142,Larrea tridentata ,28.42,12.7,32.2,shrub,20-02-2024,13:05
ng,Tecopa,Tecopa,7,211,196,166,Larrea tridentata ,28.05,12.49,32.7,shrub,20-02-2024,13:05
