"ID","title","location","lat","long","days","captures","richness","animal.name","scientific.name","year","n_cams","bait","month.of.study","temperature","notes","mean.temp.sampling.period","max.temp.sampling.period","mean.annual.temp","n_sites","sample.design","X22","system","ecosystem","capture_rate","var_caprate","richness_rate","var_richnessrate"
88.1,"Assessing the Status of Wild Felids in a Highly-Disturbed Commercial Forest Reserve in Borneo and the Implications for Camera Trap Survey Design","Kalabakan Forest Reserve, Malaysia",4.55,117.26,873,504,4,NA,NA,"2011",135,"no","May-December",NA,NA,NA,NA,NA,1,"grid",NA,"deciduous forest","deciduous",0.577319587628866,0.00066130536956342,0.00458190148911798,5.2484553139954e-06
90.1,"The diversity, status and conservation of small carnivores in a montane tropical forest in northern Laos","Louey National Protected Area, Laos",20,103.5,8499,472,14,NA,"Mustela strigidorsa, Martes flavigula, Arctonyx collaris, Aonyx cinereus, Viverra zibetha, Viverricula indica, Prionodon pardicolor, Paguma larvata, Paradoxurus
hermaphroditus, Chrotogale owstoni, Herpestes urva, Prionailurus bengalensis, Pardofelis temminckii, Pardofelis marmorata","2003-2006",250,"no","March-April",NA,NA,NA,NA,17.5,5,"grid",NA,"evergreen forest, deciduous forest","deciduous",0.0555359454053418,6.53440938996844e-06,0.00164725261795505,1.93817227668556e-07
91.1,"Monitoring mammals in the Caxiuanu National Forest, Brazil - First results from the Tropical Ecology, Assessment and Monitoring (TEAM) program","Caxiuana National Forest, Brazil",-1.79,-51.43,2838.35,236,17,NA,"Psophia vividis, Mitu tuberosa, Tayassu tajacu, Tapirus terrestris, Puma concolor, Priodontes
maximus, Panthera onca, Nasua nasua, Myrmecophaga
tridactyla, Mazama
gouazoubira, Mazama
americana, Leopardus
pardalis, Eira Barbara, Didelphis
marsupialis, Dasypus
novemcinctus, Dasyprocta agouti, Agouti paca","2002-2003",24,"no","November-December",NA,NA,NA,NA,26,24,NA,12,"tropical forest","tropical",0.0831468987263727,2.92940964737868e-05,0.00598939524723871,2.1101679663321e-06
93.1,"Mammal diversity and conservation in a secondary forest in Peninsular Malaysia","Jerangau Forest Reserve, Malaysia",4.91,103.08,5972,2121,33,NA,NA,"2000-2001",24,"no","February-October",NA,NA,NA,NA,NA,1,"trail",NA,"deciduous forest","deciduous",0.355157401205626,5.9470428868993e-05,0.00552578700602813,9.25282485939071e-07
97.1,"Ecological Relationships of Meso-Scale Distribution in 25 Neotropical Vertebrate Species","Amapá National Forest, Brazil",0.925,-51.59,1800,649,25,NA,"Crax alector, Psophia crepitans, Crypturellus erythropus, Tinamus major, Mazama americana, Mazama nemorivaga, Pecari tajacu, Tapirus terrestris, Leopardus pardalis, Leopardus wiedii, Panthera onca, Puma concolor, Eira barbara, Nasua nasua, Procyon cancrivorus, Speothos venaticus, Dasypus kappleri, Dasypus novemcinctus, Myrmecophaga tridactyla, Tamandua tetradactyla , Didelphis marsupialis, Cuniculus paca, Dasyprocta leporina, Myoprocta acouchy, Sciurus aestuans","2013-2014",30,"no","October-December, March-June",NA,NA,NA,NA,NA,1,"trail",NA,"tropical forest","tropical",0.360555555555556,0.000200308641975309,0.0138888888888889,7.71604938271605e-06
98.1,"The road less travelled: assessing variation in mammal detection probabilities with camera traps in a semi-arid biodiversity hotspot","s Groenefontein Nature Reserve",-33.64,21.65,3149,802,23,NA,NA,"2012",NA,"no","August-December",NA,NA,NA,NA,NA,46,"distance",NA,"subtropical forest","tropical",0.254684026675135,8.08777474357367e-05,0.00730390600190537,2.31943664715953e-06
100.1,"Disturbance impacts on large rain-forest vertebrates differ with edge type and regional context in Sulawesi, Indonesia","Sulawesi, Indonesia",-1.8479,120.5279,3545,973,11,NA,NA,"2013-2014",NA,"no","May-August",NA,NA,NA,NA,NA,2,"distance",NA,"tropical forest","tropical",0.274471086036671,7.74248479652105e-05,0.00310296191819464,8.75306605978742e-07
102.1,"Assessing Variation in Wildlife Biodiversity in the Tien Shan Mountains of Kyrgyzstan Using Ancillary Camera-trap Photos","ien Shan Mountains, SaryChat Kyrgyzstan",41.96,78.53,1140,117,6,NA,NA,"2005",44,"no","June-December",NA,NA,NA,NA,NA,1,"distance",NA,"Mountain","deciduous",0.102631578947368,9.00277008310249e-05,0.00526315789473684,4.61680517082179e-06
102.2,"Assessing Variation in Wildlife Biodiversity in the Tien Shan Mountains of Kyrgyzstan Using Ancillary Camera-trap Photos","Jangart,  Kyrgyzstan",41.85,78.98,1220,118,7,NA,NA,NA,48,"no",NA,NA,NA,NA,NA,NA,1,"distance",NA,"Mountain","deciduous",0.0967213114754098,7.92797635044343e-05,0.00573770491803279,4.70303681805966e-06
107.1,"Replacement of native by non-native animal communities assisted by human introduction and management on Isla Victoria, Nahuel Huapi National Park","Nahuel Huapi National Park, Argentina",-40.95,-71.55,1253,710,8,NA,NA,NA,8,"no",NA,NA,NA,NA,NA,NA,8,"transect",NA,"woodland forest","deciduous",0.566640063846768,0.000452226706980661,0.00638467677573823,5.09551219133139e-06
109.1,"Using Camera Traps to Assess Mammal and Bird Assemblages in a Midwestern Forest","Daniel Boone Field Station, Missouri, USA",38.65,90.85,2245,483,16,NA,NA,"2015",42,"no","June-July",NA,NA,24.2,NA,NA,2,"height",NA,"woodland forest","deciduous",0.215144766146993,9.58328579719347e-05,0.00712694877505568,3.17458742764173e-06
